user_id,user_name,about,stars,review_count,member_since,contests_won,runner_up,1_to_1_projects,tags,repeat_clients,reviews,certification,timestamp
1782353,Veksy,Thank you for visiting my profile!,4.9,69,"October 15, 2014", 91 , 273 , 35 ,"['Logo design', 'Logo & brand identity pack', 'Logo & brand guide', 'Logo & business card', 'Logo & social media pack', 'Logo & hosted website', 'Menu', 'Other design', 'Product label', 'Business card', 'Sticker', 'PowerPoint template', 'Poster', 'Postcard, flyer or print', 'Other business or advertising', 'Other art or illustration', 'Illustration or graphics', 'Facebook cover', 'Brochure']", 20 ,"['Totally recommendable designer.\r5 stars', 'I love the logo that Veksy designed for me! I asked for multiple revisions and she was quick at turning them around for me. Definitely will look to work with her again! Thank you! ', 'Amazing work and great to deal with. ', 'This designer is great to work with!  We needed an alteration and it was taken care of to our liking in a quick turnaround.  ', 'Very professional and easy to work with.  Great design to start with, but then always willing to make minor tweaks to make us really love the design. ', 'Veksy is very talented! A pleasure to work with. Creative and gives great and timely feed back! 10/10', 'Great work as always! ', 'Thanks for the beautiful design', 'Beautiful, classy design! I love it', 'She is great!\rWent above and beyond requirements , in a timely and professional way.\rWill definitely work with you again!!', 'This project was a dream and exceeded all expectations. Thank you, Veksy, so much for the optionality, creativity, flexibility, thoroughness and speed! ', 'Did an amazing job! ', 'It was an absolute pleasure to work with Veksy!  All of her submitted designs were wonderful and it was hard to select just one.  Communication was great, and she was receptive to feedback.  Excellent designer!', 'Very communicative!', 'Loved the design and her communication ', 'Had such a great experience! Thank you', 'Your creations are great!!! You work with passion and it shows in every design. I loved working with you on this project. Looking forward to do more things with you.', 'So amazing to work with. ', 'Love working with Vesna! ', 'Loved the initial design and the prompt responses from the designer!', 'Great service, communication and design!', 'Working with 99Designs was a wonderful experience.  My designer did a fantastic job.\r', 'Very talented designer. Great customer service ', 'Ha centrato fin da subito il nostro desiderio di progetto.\rÈ molto importante ricevere una proposta di studio globale per meglio comprendere l’applicabilità.', 'Thank-you. Quick replies and great design.', 'It was really pleasure to work with Veksi on the project. She was very reactive and made very nice proposals. Good feedback and many changes made on time.  Can only recommend her!', 'Vesna provided some good designs during the contest and one of these was chosen as a winner. She was very responsive to make modifications to the final design based on my feedback. However, things took a wrong turn when I accepted her invitation to do a...', 'The image you created has great depth.  It has meaning.  It is impacting.  It conveys so very much.  Thank you for your patience and your artistry.  Considering we are likely a world away from each other, and our communications were restricted to this p...', ""We loved Veksii's idea for our business logo. Veksi was very helpful and more than happy to make any changes we requested. A very talented designer and we are delighted with our new logo. Thank you!"", ""I can't believe what a great experience this was. Veksi went above and beyond. We changed our mind on colors and concept more times than I can count. She provided us with so many examples we were able to compare what would work for us. Highly recommende..."", 'Awesome working with Veksi! Very professional and quick to respond to comments! Enjoyable and incredible work, very talented.  ', 'Veksi is a gem- easy to work with, willing to adjust to your concepts and very talented. I LOVE my logo!!', 'Great designer and communicated with us daily! Very professional and I highly recommend!!!! ', ""Great experience! Super creative and nice, couldn't ask for better."", 'Veksi produced multiple versions initially which was a big plus, and she made changes as I requested. I got many excellent designs but hers were clearly the best.', ""Excellent design, really got the brief, and I didn't need any edits - it was perfect. Thanks!"", 'Natural talent, being perceptive, and imaginative define Veksi. From draft 1 it was clear that she took the time to read the brief and quickly turned some hard, very abstract concepts into a piece of art. She was great following up and proactive with se...', 'She is very talented. It was clear that she put a lot of effort into the work that she did. I would use her again in the future. ', 'I love my design Vesna did for me, because is classic but also innovative. Working with Vesna was a pleasure! She did really put a lot of effort in it and the communication was on point.', 'Vesna was a pleasure to work with on designing my label.  She was very patient and supportive throughout the whole process, and presented various designs that eventually transformed into the final design, which I love.  Vesna is truly a gem of an artist.', 'Great Designer. Great communication and fast reaction. Thanks a lot for your great job! I highly recommend Vesna for your design needs.', 'The design is very impactful and eye catching for my target market.  Vesna was a joy to work with throughout the whole process.', 'Vesna was very professional to work with and came up with a fantastic design.  She was responsive to our every request and made sure to incorporate all our changes and requests.  It was a pleasure working with her!', 'We felt like the design met our needs based on the limited amount of information given. Great work. ', 'Designer is very nice and offered to resume our project once we have made better decisions.', 'Vesna was very professional and did exactly what we asked her to do. She was quick to reply and provided everything we asked for. ', 'Great as always', 'Excellent design. Very classy.  Talented and easy designer to work with!', 'everything was perfect!!!', 'awesome as always', 'Top work, always great', 'out of words..Veski did complete justice to the design...went above and beyond our expectations..a very dedicated and thorough professional.', 'Thanks - great job as always.', 'Great art and responsiveness. Pleasure to work with.  ', 'great work, great quality and very fast, thank you.', '99.Design,  just completed my 1st logo work with Veksi. This was such amazing creative process. Veksi was wonderful to work with, kept offering wonderful logo ideas to me as I was giving feedback.  Always replying back quickly & professionally. The best...', ""Amazing logo work! Thank you Veksi; you're a pleasure to work with. - Lisa"", 'Great Job. Thank you for all your help!', 'Great experience, attention to detail and communication! ', 'Very helpful and always willing to make amendments! Would definitely recommend Veksi!', 'Came up with a design which exceeded my expectations and I hope we will work together much more. ', 'Got exactly what I wanted.  Very timely with corrections and edits.  ', 'Its been a pleasure to work with Veksi. She is really responsive and helpful', 'Vesna was amazing. \rShe was diligent, professional and so fast with changes!\rI will work with her again ! ', 'Very Responsive. Professional Reasonable & talented. \rI recommend for sure ! \r', 'The designer is very considerate in comprehending the brief and the spirit of  the product nature which was illustrated naturally and elegantly in the design.', 'Very fast.  Nice work!', 'Vekiss helped me create a new logo for my business and I am very happy with the outcome. She is very creative, was extremely responsive and was a pleasure to work with. I would highly recommend her to anybody.', 'Vekiss was very helpful and listened to the changes requested.  Very prompt!  This designer went above and beyond!  \r', 'Vekiss was an absolute pleasure to work with.  Truly captured our vision and what we were looking for.  Very creative, helpful and friendly.  \r\rHighly recommend working with Vekiss!']","['Web Template', 'Print', 'Brand guide', 'Top Level']",2022-02-28
2227137,ghe_12,started from a dream and it is never too late to learn ...,4.92,38,"December 05, 2015", 73 , 168 , 5 ,"['Logo design', 'Logo & brand identity pack', 'Logo & social media pack', 'Logo & brand guide', 'Logo & business card', 'Postcard, flyer or print', 'Other design', 'Business card']", 5 ,"['Simple efficace et très réactif ', 'Came up with exactly what I was looking for, and  was quick to respond with variations!', 'Great competition with lots of fantastic designs. ghe_12 to great work and love the logo!', 'A wonderful designer who took feedback into consideration as we narrowed it down to our final design. Highlighly recommend. ', 'Great work + fast and responsive.', 'I cannot say enough great things about ghe_12! He listened to my original brief incredibly well and his first design captured the exact essence of what I wanted. From there, he provided me iteration after iteration, always incorporating my feedback. He ...', 'Great design thank you', 'AWESOME JOB, FAST, RESPONSIVE AND ON POINT', 'Designer turned around on a quick timeline and delivered better than expected! Highly recommended!', 'Very great work on this logo design, and very prompt for responses! Highly recommended.', 'Very good work. Happy as larry.', 'Good design, very responsive, thank you!', 'The designer was helpful with creatively looking at the brief.  I needed something gender-inclusive and more welcoming than other medical logos. They helped me get to the image I was looking for for my company. Thank you! ', 'Incredibly talented and creative. Responsive and clear.', 'Design for the logo of a superyacht. Made several very different proposals, all good; one brilliant. I checked it on Google Images for anything similar and found nothing at all. ', ""My design is colorful and bold classy of using the P's and illustrating a person which is what we do"", 'The designer was great to work with. They took our ideas and made them into something wonderful!', 'I am rapt with the design and my designer made changes quickly whenever I asked.', 'Communite no good', 'Ghe_12 is great to work with, provided requested changes very quickly and was always extreamly responsive. I will look to hire him on a 1-1 basis for my future needs.   ', 'Great job! Very eager to make the desired changes.  ', 'Very Fast. Top Quality. Versatile.... Quite simply, perfect designer', 'Great experience working with this designer, I had no issues with getting questions answered through the process.', 'He was willing to keep updating and refining over and over until I was happy . ', 'Loved the image!', 'Quick, professional, and very talented!', 'ghe_12 was an absolute pleasure to work with. They responded immediately and very quickly to every change I wanted to make with a new design, and executed exactly what I suggested every time. It was very easy to communicate throughout the whole process....', 'I love my design, thank you!', 'Amazing work!!!', 'Went really well from start to finish. Really pleased. ', ""We asked for a logo and we resonated most with the artwork and style. We didn't find a font that worked, but we are happy with the artwork."", 'Excellent service and very creative! Will be back for more!', 'Clean simple logo right on target with the brief.', 'Great Job. The design was exactly what we wanted.', 'Awesome designer!', 'It was a pleasure to collaborate with this designer. I will look forward to inviting them to future design projects!', 'This design nailed exactly what were were looking for! Thank you!', ""I couldn't be happier with the end results.  Exceptional work and extremely professional.  I am glad I selected ghe_99 for this project and hope to work with ghe_99 in the future.  ""]","['Print', 'Mid Level']",2022-02-28
3200581,1magine,"Experienced Graphic Designer with a demonstrated history of working in the airlines/aviation industry. Skilled in WordPress, Adobe Photoshop, Adobe Indesign CC, Video and Image Editing.",0.0,0,"February 19, 2018", 2 , 3 , 0 ,"['Logo design', 'Logo & social media pack', 'Signage', 'Book cover']", 0 ,"['Delivered quickly.', 'accommodating and thoughtful ', ""Thank you so much, @Chrisoo! It's been a pleasure working with you! ""]",['Entry Level'],2022-02-28
1981757,Zamharier ™,I will create the best and professional design for my client,0.0,0,"April 28, 2015", 3 , 8 , 0 ,['Logo design'], 0 ,"['Incredible Talent! Ability to deliver the most perfect revisions! Highly Recommend! (:', 'Pleasure to work with you, Jake !. And thank you so much for your support :D']",['Entry Level'],2022-02-28
2012585,sasongko5150,,0.0,0,"May 26, 2015", 7 , 22 , 0 ,"['Logo design', 'Logo & brand identity pack', 'Logo & brand guide', 'Logo & business card']", 0 ,"['Simple, clean, modern.', ""Sasongko's talent is amazing.  He delivered a solid logo that went above my expectations and was super responsive throughout the entire process.  Well done sir.""]",['Mid Level'],2022-02-28
4523247,the_Vinayak,"When the creative energy inside me needed an expression, I manifested myself as a Graphic Designer. Welcome to the multiverse of my creative madness. My name is Vinayak and I am here to co-create with you.
  Shall we begin...?",5.0,5,"January 26, 2021", 6 , 8 , 0 ,"['Logo design', 'Logo & brand guide', 'Logo & brand identity pack']", 0 ,"['Exceptional, went extra mile in researching what my brand was about', 'Fast delivery, professional response, and a great eye for detail.\rDelivery above expectation.', 'Vinayak is a top designer, we are really happy with his work. \rthank you verry much. ', 'Vinayak is an very communicative, creative and very professional designer. He does an outstanding job for our new brand. The file and brand guide was on a very high level we never got before for any our other brands. I highly recommend this guy for any ...', 'Amazing work, thank you!']",['Entry Level'],2022-02-28
3281590,Adiba.,,0.0,0,"April 30, 2018", 3 , 18 , 0 ,"['Logo design', 'Logo & business card']", 0 ,['Outstanding work.  Skilled.  Professional.  Responsive.  Would definitely hire again.'],['Entry Level'],2022-02-28
3490145,☀ Zoya,,5.0,17,"October 29, 2018", 31 , 70 , 1 ,"['Logo design', 'Logo & brand identity pack', 'Logo & brand guide', 'Logo & business card', 'Logo & social media pack', 'Icon or button']", 2 ,"['Zoya was fantastic to work with. She listened to our ideas with great detail and care, and make them a reality!', 'Khristina, thank you for your kind cooperation. I wish you the best of luck.', 'Zoya is very quick to react and work with changes desired and in answering. Always kind and willing to adjust! She has a lot of flexibility in her ideas and is versatile!', 'She is very cooperative and creative designer , also she wants to listen to the proposals and she is very open to them.', 'She was very responsive and happy to work with us until the design was complete. Thanks so much!!', 'Elegant and Sophisticated Design!', 'Great clean design and excellent service from Zoya ', 'Zoya was quick to respond and took our changes well. We like the direction and ideas behind the final logo', 'Elegant design. Exactly what we had in mind.', 'Zoya is a skilled designer with a great eye and talent. Very creative, responsive and has a great attitude.', 'Zoya was very helpful and attentive to detail. Would love to work with her again.', 'I really appreciate the communication between our designer and our team. This was our first 99d experience and it could not have been better. ', 'Awesome communicator. Really grasped our brief and ran with it while being sure to check-in for feedback. Great experience. Speedy turnaround on files! ', 'Very nice working with Zoya. We had almost 11 hours of timezone differences but it was no problem at all. Thank you!\r', 'Zoya was a joy to work with on my logo!  She was patient and has a great eye for design.  She took the time I needed to get the design just right.  Brava!', 'Zoya got it right away.  Very creative and original', 'great designer, super responsive! Would hire again anytime!', ""Excellent designer !!  Not understanding anything of this matter I expressed myself badly but she immediately understood everything and guessed at the first attempt.  I asked her about the changes I'm waiting for.  Super!!""]",['Mid Level'],2022-02-28
1420229,FD-S™,I am a freelancer Graphic designer.,4.97,89,"November 19, 2013", 173 , 456 , 14 ,"['Logo design', 'Logo & brand identity pack', 'Logo & social media pack', 'Logo & business card', 'Logo & brand guide', 'Product packaging', 'Icon or button', 'Brand guide']", 13 ,"['excellent designer who knew how to follow the directions.\rhe did several tests, so he had a lot of patience and professionalism to follow my project', 'Did an aweseme job of making any requesed changes in a timely matter.  Logo looks great', 'I like the design a lot, I wish we could have verbal conversation to express more of what I need. I am not a great at communicating through text.,', 'Designer was easy to work with and very attentive to our logo needs. Very professional.', 'FD-S got it just right.', 'Great logo design.', 'Great design! Very easy to work with!', 'The designer came up with solid initial concept and as able to improve it with our suggestions. ', 'Creative and good looking design. Thank you a lot!', 'Das Design ist einzigartig deshalb habe ich mich dafür entschieden...', 'Outstanding design, Quick and clear communication. Professionally done and love the design!! ', ""Don't force people to write comments"", 'seamless and great design', 'Amazing job 10/10', 'Great idea and execution.', 'I thought the designer FD-S was really great to work with reliable diligent in giving me the client what I wanted and envisioned, will refer', 'FD-S did great work.  He captured my idea perfectly and executed my small edits as requested.', 'Great work, fast turn around on changes, and a pleasure to work with. Thanks!', 'Ottimo logo e ottimi professionista, consigliato!', 'fantastic work.  He provided a lot of different ideas until I had to pick one of his great designs. ', 'The logo was exactly what we hoped for.  The designer was able to take written ideas and turn them into something beautiful.  Thank you for an amazing experience!', 'Really loved the design! Attention to detail, speed and responsiveness were just a few things we enjoyed', 'Loved the concept behind the design, and it was very easy to communicate with the designer.', '\rThank for all your effort. Great work! Keep it up.', 'Fast and amazing design. AAA work. Great to work with.', 'perfect designer!', 'Frito-Design did a Fantastic job and worked in a timely manner with all of my tweaks.  Five Stars!!', 'We love the logo FRITO-DESIGNstudio came up with, and will definitely consider using them again for future work. Recommended!', 'I was very satisfied with the work. EXCELLENT!', 'Very responsive to our requested changes. ', 'wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww', 'Second project with this designer and I again warmly recommend his work! Thank you', ""Thanks for working on the design! It's been a great experience working with you!"", 'FRITO-DESIGNstudio took the time to read my brief and came up with an incredible logo. I highly recommend this designer. ', 'We much appreciated the several adjustments the designer made after our requests.', 'FRITO was amazing ', 'everything perfect', 'Fantastic designer 10/10 ', 'Great job, thank you', 'responsive, creative, rapid.', 'He did a fast and nice design. Communication was good. I would definitely work with him again.', 'Did a great job, very responsive.', 'Great work. Very quick to make revisions.', 'Fantastic. Not only made the design I requested but also made changes at my request in a timely manner', 'awesome job :) thank you', 'Very professional, great communication and a unique design.', 'Amazing design and really responsive to my questions and suggestions. Great experience! ', 'Very helpful and responsive! Would definitely work designer again!', ""Wonderful design!! FRITO-DESIGN also quickly created a couple variations based on my requests.  Couldn't be happier!"", 'Thank you for designing a great logo for us.\rYou did everything we asked for. ', 'Easy to communicate with.  Responded quickly.  Creative ideas.  Skilled designer.', 'I enjoyed the creative process and feel the designer nailed my thoughts', 'Amazing to work with', 'Love the design, easy to work with!', 'Fast, efficient, intuitive. Very happy.', 'Very friendly and was a great communicator during the design process', ""Thanks for the logo you've created."", 'Lots of good options and efficient work!', 'Thanks so much for your great design and working with my requests! ', 'Very cooperative with my revisions! Delivered everything i asked!!', 'Great design, thanks', 'we love the design you came up with!...thank you', 'Great designer! Does amazing work and is very responsive.', 'Fantastic work & wonderfully responsive to our needs!', 'Great design. easy to work with. FAst to respond\r', 'Lovely design! We are very happy with the outcome. ', 'Thank you so much for your work and dedication! You are great and easy to work with! Such a qualified professional! \r', 'Frito-Design Studio did great work with the direction that we gave, and came up with a number of different options.', 'Frito was an absolute professional to work with, his attention to detail and our vision was beyond what we could have ever expected. We here at Olympus Executive Realty look forward to working on many more projects in the future.  Response and with many...', 'Creative design, thank you!', 'Fantastic design! Incredible work', 'Great Design, very responsive!  Thank you!', 'Frito Design Studio is an excellent designer to work with. His first proposal was the one we ended up with, didn´t really need any iterations. The process from start to finish was very smooth and he was very accommodating. ', 'FRITO-DESIGNstudio took the time to read the requirement and develop to that spec exactly.  The proof of their excellence is that they won the design contest with a single entry and no revisions!  Bam!  It was a pleasure working with them.', 'FRITO-DESIGNstudio was very easy to work with and responsive to all of our requests. Recommended!', 'FRITO-DESIGNstudio slayed it! Fast, responsive, stylish, easy communication, and mostly just really cool epic, big splash designs. ', 'We are very satisfied overall with the design, quality of the product, and willingness to make requested updates.  Would definitely recommend FRITO-DESIGNstudio to anyone!', 'Easy to work with and very responsive. Great designer!', 'When we started, we had an idea of what we liked.  With all the great entries, your version stood out as the one that appealed to us the most.  Thank you for your work.  ', 'Great work, quick and easy', 'Great work . Thank you!', 'I really appreciate your attention to detail and design! Fantastic job and thank you for all of your hard work and dedication.\r\r- Jeff', 'Frito was very attentive and willing to provide the necessary updates and revisions in a timely manner. He was responsive, helpful and full of great talent! I would recommend him and definitely would use him again!', 'The job was to create a modern logo that conveyed confidence and security for a insurance and retirement planing business.  The designed took the time to ask the right questions and really catered to what I was looking for in a design.  He was very gene...', 'Excellent job on the logo. Also very responsive and timely on the changes. I highly recommend their work. ', 'Excellent work. I highly recommend! ', 'Dies war das erste mal, dass wir über 99Designs ein Logo gesucht haben. Es hat alles super funktioniert, die Zusammenarbeit klappte reibungslos und FRITO-DESIGNstudio hat alles prompt so umgesetzt, wie wir uns das gewünscht haben. Toll, gerne wieder!', 'Thank you very much for a great design!', 'Great work! Really happy with design.', 'Really awesome job. This designer had a great concept and worked hard to make sure it fit my need perfectly!']","['Print', 'Brand guide', 'Top Level']",2022-02-28
1266217,megaromy504,Creativo y proactivo.,5.0,55,"June 22, 2013", 51 , 176 , 43 ,"['Logo design', 'T-shirt', 'Logo & brand identity pack', 'Logo & social media pack', 'Logo & business card', 'Logo & brand guide', 'Poster', 'Clothing or apparel', 'Product label', 'Illustration or graphics', 'Cup or mug', 'Product packaging', 'Other web or app design', 'Other business or advertising', 'Card or invitation', 'Business card']", 7 ,"['Designer was easy to work with, had good communication, answered all my questions and listened to what I wanted. ', 'Fast and accommodating when it comes to making changes!', 'Great work! The design was exactly what I was looking for.', 'Design looks great!', 'Desde el principio muy acertado y siempre disponible a realizar los cambios en el diseÃ±o.', 'Wonderful design work and fast turnarounds on requests. Would recommend to others and would work with this designer again! ', 'Wonderful and so communicate! ', 'Quick and easy. Great to work with', 'The logo represents very well the activity of the company.\rVery dedicated designer, responsible, worked with every detail that was asked of him, thanks for excellent work', 'Excellent work and extremely patient with me in going back and forth on colors. He took the details of my request and really thought outside the box. He answered all of my questions and was so helpful. This is my first time in starting a business and th...', 'Very good and I would definitely use again on any project I might undertake. Thank you.', 'Very good and quick with art work highly recommended.', 'Awesome designer! Has a good vision and goes above and beyond to prove it. Thank you', 'The design was clean and playful. The designer was great to work with. I asked for a couple changes and he was very responsive and did exactly as I needed. Canâ€™t wait to start using the logo.', 'Megaromy 504 is very professional and knows his work.  Overall, his work is outstanding.', 'Very efficient, accurate and responsive.\r', 'Excellent experience and very talented. ', 'Great, timely communication and great style!', 'He made a great logo, and made all the revisions we asked for really quickly.', 'Ha sido un trabajo perfecto. Muy agradecidos!', 'Great designs and great communication!', 'Excelente trabajo. ', 'megaromy504 did an excellent job of realizing our vision and translating it into a logo that we love.', 'Muy buen trabajo, el diseÃ±ador fue muy atento a todas mis propuestas, trabaja rÃ¡pido y es muy amable, lo recomiendo ', ' Buen trabajo como siempre ', 'everything was great a tottally recomend it.', 'Super buen trabajo, Great Job !!!!!!', 'Excelente comunicaciÃ³n, diseÃ±ador super creativo. Muchas Gracias.', 'Responsable y comprometido con el diseÃ±o!!', 'Excellent Job ! Fast answer .. Always available , Will work again..', 'Muy buen trabajo como siempre.', 'Great job!!!!!!!!!!!', 'Muy buen trabajo', 'Buen trabajo como siempre.', 'Muy buen trabajo como siempre.', 'Amazing!!!!!!!!!!!', 'Perfecto como siempre ðŸ‘Œ', 'Todo estuvo perfecto!!', 'Muy buen trabajo.. ', 'Como siempre... un placer trabajar contigo, gran trabajo ðŸ‘Œ', 'Excelente trabajo, capto la idea de lo que se estaba buscando y lo plasmo en un logotipo perfecto.', 'Great Job !!!!!!!!!!!!', 'Muy buen trabajo.', 'Muy buen trabajo! ', 'Muy buenos disenos como siempre. Gracias ', 'Todo un experto en su Ã¡rea!', 'Se mostro rapido en respuesta y bien colaborador, ademÃ¡s de la creatividad mostrada.', 'Muy buen trabajo como siempre.Gracias', 'Great experience super fast!!!! Highly recommend ', 'Great work. Muy rapido y eficiente.', 'El trabajo ha sido del agrado, ha dejado representado lo que querÃ\xadamos.\r La comunicaciÃ³n estupenda con el diseÃ±ador con cero inconvenientes de modificar una y otra vez.\r', 'Muy profesional, mostrando interÃ©s por todas mis peticiones. Recomendable!', 'Love the design and he was very helpful in making some last minute changes', 'We asked for a unique, fun, comical, happy design for our new retail company.  We got what we asked for and MUCH MORE!!  We had so many designs to choose from which Megaromy504 created that it was truly hard to pick the best one for us.   Top notch job!! ', 'Muy buen profesional']","['Brand guide', 'Mid Level']",2022-02-28
